Number of Bits,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Average
1,0.7366,0.7215,0.7391,0.707,0.7153,0.7376,0.7499,0.7166,0.6896,0.7168,0.723
2,0.8395,0.8437,0.7992,0.7791,0.8285,0.8408,0.8404,0.7968,0.7827,0.7913,0.8142
3,0.9232,0.9627,0.9519,0.9324,0.8839,0.941,0.919,1.1511,1.1325,1.1547,0.9952
4,1.3429,1.3287,1.2732,1.2871,1.2971,1.3512,1.3498,1.2901,1.3331,1.3659,1.3219
5,1.4286,1.4364,1.4995,1.4482,1.4841,1.5088,1.4838,1.4367,1.1482,1.191,1.4065
6,1.2339,1.3138,1.6228,1.5985,1.6006,1.6601,1.7195,1.6641,1.7304,1.7036,1.5847
7,1.7264,1.7776,1.7503,1.3684,1.3557,1.7513,1.7132,1.7523,1.7618,1.7542,1.6711
8,1.9276,1.8943,1.4169,1.4444,1.4813,1.4705,1.915,1.9177,1.9361,1.9822,1.7386
9,2.0181,1.5897,1.5374,1.6151,1.6044,1.5112,1.5625,1.5005,1.5011,1.5439,1.5984
10,1.755,1.6699,1.6787,1.6789,1.7487,2.085,2.2313,2.2236,2.2188,2.2505,1.954
11,2.4629,2.3947,2.4668,2.3721,2.1419,1.7195,1.739,1.9444,1.7043,1.8113,2.0757
12,2.5511,2.481,2.453,2.9603,2.6376,2.5455,2.5041,2.4975,2.5724,2.5922,2.5795
13,2.6281,2.6804,2.6789,2.6848,2.7755,2.8378,2.7249,2.8296,2.6043,1.9446,2.6389
14,2.0508,2.0871,2.0687,2.142,2.0705,2.0005,2.0608,3.0093,2.9116,2.7579,2.3159
15,3.0342,2.9124,2.7182,2.0927,2.2639,2.1503,2.1815,2.9198,2.9107,2.9742,2.6158
16,3.103,3.1706,3.1918,3.2335,3.1719,3.1674,3.3579,3.2176,3.2,3.1612,3.1975
17,3.6368,3.62,3.2379,3.3852,3.3431,3.3643,3.5848,3.37,3.2863,3.9484,3.4777
18,3.525,3.4145,3.5429,3.4731,3.4851,3.4294,3.4897,3.3757,3.424,3.4298,3.4589
19,3.6127,3.6824,3.7316,3.5923,3.6899,3.7199,3.6114,3.6092,3.6537,3.5622,3.6465
20,3.7914,3.8016,3.9013,3.6578,3.6552,3.8026,3.7279,3.804,3.6727,3.0776,3.6892
21,2.7548,2.7576,3.0375,2.838,2.9586,2.7284,3.2706,3.9596,3.8407,3.8545,3.2
22,4.0797,4.0304,4.0388,3.9702,3.9317,3.9516,3.9314,3.8605,2.9544,3.1964,3.7945
23,2.8744,3.1488,3.0164,2.9634,2.9501,4.0574,4.0741,4.2403,4.2561,4.191,3.5772
24,4.4593,4.3514,3.1639,3.1266,3.0169,3.083,4.0224,4.4393,4.347,4.3181,3.8328
25,4.4243,4.4422,4.4014,3.2628,3.5087,3.1985,3.4548,3.1842,4.7123,4.458,3.9047
26,4.5579,4.6317,4.6534,3.3345,3.188,3.3032,3.089,3.211,3.3525,3.47,3.6791
27,4.6504,4.8502,4.7699,4.9311,4.7024,4.743,3.4673,3.3811,3.5958,4.0893,4.3181
28,4.8745,4.9905,4.6499,3.3514,3.5324,3.4433,3.5538,3.5226,3.4658,3.4319,3.8816
29,5.074,5.0062,5.1141,5.0928,3.5352,3.6554,3.6583,3.8215,3.5785,4.0399,4.2576
30,5.2071,5.103,4.5704,5.2139,4.6503,5.1309,4.4169,3.7462,3.7957,5.1663,4.7001
31,3.9112,3.7931,5.2926,4.5386,5.4421,5.3599,3.611,3.7711,3.8855,3.7754,4.3381
32,4.0916,3.9548,3.9451,3.9944,3.8517,4.0213,4.1617,3.8986,5.1732,5.6205,4.2713
33,5.5226,5.5732,5.7946,3.9931,5.4804,4.7797,4.1989,3.9201,4.0272,5.2965,4.8586
34,4.1683,4.1527,5.1042,5.7583,5.7357,5.7576,4.8804,4.0179,4.0513,4.4179,4.8044
35,5.9314,5.6088,4.2362,4.2789,4.3165,4.4644,4.949,4.1478,6.0348,5.9325,4.99
36,5.49,6.0526,4.1921,4.1585,4.442,6.1004,4.2836,4.4324,4.3567,4.4037,4.7912
37,4.5275,6.2717,6.6263,6.2278,6.3181,6.289,6.1932,4.2976,6.1229,6.3324,5.9206
38,5.5421,4.8252,4.5898,4.4782,5.9538,6.5614,4.9513,6.2006,4.5982,4.4292,5.213
39,4.661,4.4975,4.6035,4.6714,6.261,6.5058,5.9477,6.6532,5.1102,4.9398,5.3851
40,5.021,6.6059,6.1343,4.7494,4.6273,4.7965,4.6508,4.7969,4.6717,5.0717,5.1125
41,5.0866,4.783,4.9232,6.8655,6.8616,4.8409,5.3623,5.0296,4.5837,5.0844,5.3421
42,6.9696,7.012,5.6623,5.2158,4.8499,5.0082,5.0759,4.8912,4.9099,4.9041,5.4499
43,7.2874,7.5162,4.8248,5.285,7.0602,4.9976,7.2376,7.3489,6.6504,6.0763,6.4284
44,5.0658,5.0571,5.4526,5.2508,5.0768,7.4902,7.2409,5.201,5.5374,6.2626,5.7635
45,7.3452,5.7441,5.4562,6.5965,7.6899,6.0438,5.2826,5.1953,6.3905,7.4081,6.3152
46,7.4369,5.4823,5.3789,5.4022,5.1088,7.4049,7.4921,5.4384,5.4039,7.3079,6.1856
47,5.3613,7.6849,6.4443,5.4354,5.5342,5.4369,7.5098,5.5843,5.5064,5.5066,6.0004
48,5.8093,6.3163,5.6204,5.5079,5.5108,5.4065,5.3609,7.9873,5.5258,7.785,6.083
49,5.7036,5.8757,7.8512,5.387,6.3461,8.0859,6.0459,5.6654,8.2379,7.9281,6.7127
50,6.7251,5.7543,7.0655,7.6351,6.8001,5.7055,8.1987,5.6682,8.4242,7.9022,6.9879
51,6.6862,6.0557,6.2837,6.0458,6.0232,6.1045,6.0059,6.1214,5.8733,8.4694,6.3669
52,8.5322,6.1153,5.9357,6.0769,6.2567,5.8465,5.9574,8.698,8.5311,5.6957,6.7645
53,6.4172,6.3258,6.3174,6.1542,6.3975,8.6599,7.3005,5.8971,6.0874,6.0176,6.5575
54,8.8682,6.9942,8.9172,6.2332,6.299,6.852,6.1191,5.9795,8.1119,6.171,7.0545
55,6.0089,6.5065,8.3212,8.8913,9.0696,6.4932,6.4347,8.9179,6.3481,6.6015,7.3593
56,9.4976,6.403,6.4031,6.8063,9.0427,6.972,8.7184,6.5887,8.8493,6.3014,7.5582
57,6.5921,9.1787,6.2914,6.4556,6.6275,9.6133,6.6387,9.1696,6.6655,6.2426,7.3475
58,6.7135,9.273,9.4045,6.6757,7.8313,8.3232,6.7808,9.4296,6.4557,9.4074,8.0295
59,6.6015,6.8264,9.5167,8.2256,7.5561,6.7455,9.4684,8.802,8.7852,8.575,8.1102
60,7.0057,9.6644,6.6793,6.8143,6.8027,8.0398,7.0218,6.7781,6.9338,6.8702,7.261
61,7.6467,7.8513,9.4412,6.9686,10.0378,10.6372,8.032,8.5294,8.2484,8.0423,8.5435
62,7.5671,11.1036,9.4844,8.1407,7.1723,7.044,9.8401,8.4477,7.2959,10.2693,8.6365
63,6.9437,9.9236,9.8116,7.2443,7.328,8.6632,9.8849,7.3205,6.9398,7.947,8.2007
64,10.3103,7.267,10.2994,7.4398,7.1477,7.7496,10.5117,10.3662,7.3459,7.3758,8.5813
